An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,cod_siiir_pj,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email,numar_elevi,limba_de_predare,nivel_invatamant,numar_subunitati,nr_rural,nr_urban
2024-2025,BH,Oradea,26573,Urban,561101944,Centrul Școlar de Educație Incluzivă Nr.1 Oradea,Oradea,26573,Urban,364638,561101944,Centrul Școlar de Educație Incluzivă Nr.1 Oradea,Centrul Școlar de Educație Incluzivă Nr.1 Oradea,Unitate de Învățământ,Pj,4473281,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Roman Ciorogariu,48,410009.0,259437891.0,259437891.0,Scoalas1@Yahoo.Com,160.0,['Limba română'],"['Gimnazial', 'Preșcolar', 'Primar']",1.0,0.0,41.0
2024-2025,BH,Oradea,26573,Urban,561100079,"Colegiul Economic „Partenie Cosma"" Oradea",Oradea,26573,Urban,845618,561100079,"Ce „P.Cosma"" Oradea","Colegiul Economic „Partenie Cosma"" Oradea",Unitate de Învățământ,Pj,4348831,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Armatei Române,1/F,410087.0,259472674.0,359436854.0,Colecoor@Yahoo.Com,1085.0,['Limba română'],"['Liceal', 'Profesional']",1.0,0.0,30.0
2024-2025,BH,Oradea,26573,Urban,561100206,"Colegiul Național „Emanuil Gojdu"" Oradea",Oradea,26573,Urban,364573,561100206,Cn „E.Gojdu” Oradea,"Colegiul Național „Emanuil Gojdu"" Oradea",Unitate de Învățământ,Pj,4660697,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Spiru Haret,3-5,410066.0,259417668.0,359439101.0,Egojdu@Gmail.Com,1066.0,['Limba română'],"['Gimnazial', 'Liceal']",1.0,0.0,24.0
2024-2025,BH,Oradea,26573,Urban,561100961,"Colegiul Național „Iosif Vulcan"" Oradea",Oradea,26573,Urban,364602,561100961,"Colegiul Național „Iosif Vulcan"" Oradea","Colegiul Național „Iosif Vulcan"" Oradea",Unitate de Învățământ,Pj,4348807,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Jean Calvin Nr. 3 (Pri, Gim, Lic Teo, Lic Voc); B-Dul Decebal Nr. 60 (Pri)",.,410210.0,359410550.0,359410550.0,Pedagogic_Vulcan@Yahoo.Com,1275.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,31.0
2024-2025,BH,Oradea,26573,Urban,561101849,"Colegiul Național „Mihai Eminescu"" Oradea",Oradea,26573,Urban,364997,561101849,"Colegiul Național „Mihai Eminescu"" Oradea","Colegiul Național „Mihai Eminescu"" Oradea",Unitate de Învățământ,Pj,4650553,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Roman Ciorogariu, Nr. 18 (Prim, Gim, Lic, Css Nr. 2) ; Str. Stănișoarei Nr. 4 (Pri)",.,410017.0,359411801.0,359411800.0,Cn.Eminescu@Yahoo.Com,1281.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,47.0
2024-2025,BH,Oradea,26573,Urban,561102081,"Colegiul Național „Onisifor Ghibu"" Oradea",Oradea,26573,Urban,365199,561102081,"Colegiul Național „Onisifor Ghibu"" Oradea","Colegiul Național „Onisifor Ghibu"" Oradea",Unitate de Învățământ,Pj,6535259,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Onisifor Ghibu Nr. 3 (Pri., Gim., Lic.); Str. Nicolae Șova Nr. 4",.,410578.0,359436901.0,359436903.0,Onisifor_Ghibu@Yahoo.Com,2233.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,29.0
2024-2025,BH,Oradea,26573,Urban,561108589,"Colegiul Tehnic „Mihai Viteazul"" Oradea",Oradea,26573,Urban,1180522,561108589,"Colegiul Tehnic „Mihai Viteazul"" Oradea","Colegiul Tehnic „Mihai Viteazul"" Oradea",Unitate de Învățământ,Pj,4348840,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Poieniței,25,410191.0,259431426.0,259431426.0,Info@Mviteazul.Ro,1439.0,['Limba română'],"['Liceal', 'Postliceal', 'Profesional']",1.0,0.0,58.0
2024-2025,BH,Oradea,26573,Urban,561100043,"Colegiul Tehnic „Traian Vuia"" Oradea",Oradea,26573,Urban,1180510,561100043,"Colegiul Tehnic „Traian Vuia"" Oradea","Colegiul Tehnic „Traian Vuia"" Oradea",Unitate de Învățământ,Pj,4539106,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Constantin Brâncoveanu,"12, 12/A",410191.0,259436039.0,259417829.0,Ct_Vuia@Yahoo.Com,1567.0,"['Limba maghiară', 'Limba română']","['Liceal', 'Postliceal', 'Profesional']",1.0,0.0,90.0
2024-2025,BH,Oradea,26573,Urban,561109726,Creșa Oradea,Oradea,26573,Urban,0503246,561109726,Creșa Oradea,Creșa Oradea,Unitate de Învățământ,Pj,45709992,Program Prelungit,Buget,Publică de Interes Național Și Local,Aleea Prof. Onisifor Ghibu,16,410497.0,359466990.0,359466990.0,Cresaoradea@Daso-Oradea.Ro,859.0,['Limba română'],['Antepreşcolar'],15.0,0.0,17.0
2024-2025,BH,Oradea,26573,Urban,561202034,"Grădinița cu Program Normal „Lumina"" Oradea",Oradea,26573,Urban,502424,561202034,"Gpn „Lumina"" Oradea","Grădinița cu Program Normal „Lumina"" Oradea",Unitate de Învățământ,Pj,37768157,Program Normal,Taxă,Privată,Bogdan Petriceicu Hasdeu,18,410003.0,359454618.0,359454618.0,Gpnlumina@Gmail.Com,18.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,BH,Oradea,26573,Urban,561208827,"Grădinița cu Program Prelungit „Aleodor"" Oradea",Oradea,26573,Urban,502838,561208827,"Grădinița cu Program Prelungit „Aleodor"" Oradea","Grădinița cu Program Prelungit „Aleodor"" Oradea",Unitate de Învățământ,Pj,25192327,Program Prelungit,Taxă,Privată,Moldovei,3,410174.0,771704188.0,359195735.0,Contact@Gradinita-Aleodor.Ro,42.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,BH,Oradea,26573,Urban,561209914,Grădinița cu Program Prelungit „Armonia” Oradea,Oradea,26573,Urban,0503296,561209914,Gpp Armonia Oradea,Grădinița cu Program Prelungit „Armonia” Oradea,Unitate de Învățământ,Pj,26485201,Un Schimb/Zi,Buget,Privată,Horea,6,410080.0,746010565.0,746010565.0,Gradinitaarmonia@Yahoo.Com,23.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,BH,Oradea,26573,Urban,561209977,Grădinița cu Program Prelungit „Briana Maria Anastasia” Oradea,Oradea,26573,Urban,0503349,561209977,Gpp Briana,Grădinița cu Program Prelungit „Briana Maria Anastasia” Oradea,Unitate de Învățământ,Pj,50554088,Un Schimb/Zi,Buget,Privată,Călărașilor,33,410195.0,259433532.0,259465113.0,Henri.Coanda.Oradea@Gmail.Com,0.0,['Limba română'],['Preșcolar'],1.0,0.0,1.0
2024-2025,BH,Oradea,26573,Urban,561200154,"Grădinița cu Program Prelungit „Casa Minunată"" Oradea",Oradea,26573,Urban,502371,561200154,"Grădinița cu Program Prelungit „Casa Minunată""","Grădinița cu Program Prelungit „Casa Minunată"" Oradea",Unitate de Învățământ,Pj,4794150,Program Prelungit,Taxă,Privată,Traian Lalescu,47,410406.0,744503553.0,744503553.0,Aduplessi@Casaminunata.Org,83.0,['Limba română'],"['Antepreşcolar', 'Preșcolar']",1.0,0.0,5.0
2024-2025,BH,Oradea,26573,Urban,561209968,Grădinița cu Program Prelungit „Margot” Oradea,Oradea,26573,Urban,0503325,561209968,Gpp Margot,Grădinița cu Program Prelungit „Margot” Oradea,Unitate de Învățământ,Pj,50401947,Un Schimb/Zi,Taxă,Privată,Nicolaus Olaus,15,410086.0,756358294.0,756358294.0,Gradinitamargot@Gmail.Com,20.0,['Limba română'],['Preșcolar'],1.0,0.0,2.0
2024-2025,BH,Oradea,26573,Urban,561101659,"Grădinița cu Program Prelungit „Orsolya"" Oradea",Oradea,26573,Urban,055501456,561101659,"Gpp „Orsolya"" Oradea","Grădinița cu Program Prelungit „Orsolya"" Oradea",Unitate de Învățământ,Pj,12548920,Program Prelungit,Buget,Publică de Interes Național Și Local,Moscovei Nr. 1; Sediu Secundar Strada Digului Nr. 31,,410001.0,259435220.0,259435220.0,Gradinitaorsolya@Yahoo.Com,220.0,['Limba maghiară'],"['Antepreşcolar', 'Preșcolar']",2.0,0.0,11.0
2024-2025,BH,Oradea,26573,Urban,561209692,Grădinița cu Program Prelungit „Speranța”,Oradea,26573,Urban,0503234,561209692,Grădinița cu Program Prelungit „Speranța”,Grădinița cu Program Prelungit „Speranța”,Unitate de Învățământ,Pj,45907353,Un Schimb/Zi,Sponsorizare,Privată,Calea Bihorului,53,410118.0,359412088.0,359412088.0,Gppsperanta@Gmail.Com,68.0,['Limba română'],['Preșcolar'],1.0,0.0,3.0
2024-2025,BH,Oradea,26573,Urban,561208976,Grădinița cu Program Prelungit „Wenford Academy” Oradea,Oradea,26573,Urban,503002,561208976,Gpp „Wenford Academy” Oradea,Grădinița cu Program Prelungit „Wenford Academy” Oradea,Unitate de Învățământ,Pj,29850158,Program Prelungit,Taxă,Privată,Calea Aradului,4A,410110.0,762608273.0,359197080.0,Winnie_Academy@Yahoo.Com,256.0,['Limba română'],"['Antepreşcolar', 'Preșcolar']",1.0,0.0,5.0
2024-2025,BH,Oradea,26573,Urban,561200014,"Grădinița cu Program Prelungit Americano-Română „Crinul"" Oradea",Oradea,26573,Urban,502436,561200014,"Gpp Americano-Română „Crinul"" Oradea","Grădinița cu Program Prelungit Americano-Română „Crinul"" Oradea",Unitate de Învățământ,Pj,30764921,Program Prelungit,Taxă,Privată,Clujului,6,410053.0,745581380.0,259477003.0,Gradinita_Crinul@Yahoo.Com,72.0,['Limba română'],"['Antepreşcolar', 'Preșcolar']",1.0,0.0,4.0
2024-2025,BH,Oradea,26573,Urban,561208316,Grădinița cu Program Prelungit Evanghelică Lutherană Oradea,Oradea,26573,Urban,502448,561208316,Gpp Evanghelică Lutherană Oradea,Grădinița cu Program Prelungit Evanghelică Lutherană Oradea,Unitate de Învățământ,Pj,27710557,Program Normal,Taxă,Privată,Tudor Vladimirescu,26,410203.0,259433025.0,259433025.0,Matyas.Judit@Yahoo.Com,105.0,['Limba maghiară'],"['Antepreşcolar', 'Preșcolar']",1.0,0.0,7.0
2024-2025,BH,Oradea,26573,Urban,561102018,Grădinița cu Program Prelungit Nr.25 Oradea,Oradea,26573,Urban,359578,561102018,Gpp Nr.25 Oradea,Grădinița cu Program Prelungit Nr.25 Oradea,Unitate de Învățământ,Pj,12556043,Program Prelungit,Buget,Publică de Interes Național Și Local,Zalăului,11,410526.0,259414807.0,259414807.0,Gradinitanr25@Yahoo.Com,341.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],3.0,0.0,11.0
2024-2025,BH,Oradea,26573,Urban,561108345,Grădinița cu Program Prelungit Nr.30 Oradea,Oradea,26573,Urban,1011305,561108345,Gpp Nr.30 Oradea,Grădinița cu Program Prelungit Nr.30 Oradea,Unitate de Învățământ,Pj,12567700,Program Prelungit,Buget,Publică de Interes Național Și Local,1848,3B,410074.0,359176396.0,359176396.0,Gradinita30_Mugurel@Yahoo.Com,510.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],4.0,0.0,19.0
2024-2025,BH,Oradea,26573,Urban,561101894,Grădinița cu Program Prelungit Nr.34 Oradea,Oradea,26573,Urban,359669,561101894,Gpp Nr.34 Oradea,Grădinița cu Program Prelungit Nr.34 Oradea,Unitate de Învățământ,Pj,12555889,Program Prelungit,Buget,Publică de Interes Național Și Local,Parcul Petofi Sandor,36,410160.0,359176387.0,359176387.0,Gradi34Oradea@Yahoo.Com,302.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],3.0,0.0,30.0
2024-2025,BH,Oradea,26573,Urban,561108467,Grădinița cu Program Prelungit Nr.45 Oradea,Oradea,26573,Urban,359774,561108467,Gpp Nr.45 Oradea,Grădinița cu Program Prelungit Nr.45 Oradea,Unitate de Învățământ,Pj,12556000,Program Prelungit,Buget,Publică de Interes Național Și Local,Aluminei,100/A,410303.0,359196153.0,359196153.0,Gradicreanga45@Yahoo.Com,419.0,"['Limba germană', 'Limba maghiară', 'Limba română']",['Preșcolar'],3.0,0.0,12.0
2024-2025,BH,Oradea,26573,Urban,561101121,Grădinița cu Program Prelungit Nr.46 Oradea,Oradea,26573,Urban,359786,561101121,Gpp Nr.46 Oradea,Grădinița cu Program Prelungit Nr.46 Oradea,Unitate de Învățământ,Pj,12567646,Program Prelungit,Buget,Publică de Interes Național Și Local,Feldioarei,17,410147.0,359436229.0,359436229.0,Gradinita_46@Yahoo.Com,443.0,"['Limba germană', 'Limba maghiară', 'Limba română']",['Preșcolar'],3.0,0.0,15.0
2024-2025,BH,Oradea,26573,Urban,561108598,Grădinița cu Program Prelungit Nr.50 Oradea,Oradea,26573,Urban,359827,561108598,Gpp Nr.50 Oradea,Grădinița cu Program Prelungit Nr.50 Oradea,Unitate de Învățământ,Pj,12555803,Program Prelungit,Buget,Publică de Interes Național Și Local,Cazaban,35,410282.0,359175787.0,359175787.0,Gradinita50@Yahoo.Com,564.0,['Limba română'],['Preșcolar'],4.0,0.0,12.0
2024-2025,BH,Oradea,26573,Urban,561108372,Grădinița cu Program Prelungit Nr.52 Oradea,Oradea,26573,Urban,360096,561108372,Gpp Nr.52 Oradea,Grădinița cu Program Prelungit Nr.52 Oradea,Unitate de Învățământ,Pj,5105369,Program Prelungit,Buget,Publică de Interes Național Și Local,Călugăreni,8A,410381.0,359427289.0,359427289.0,Gradi52Oradea@Yahoo.Com,419.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],4.0,0.0,21.0
2024-2025,BH,Oradea,26573,Urban,561108562,Grădinița cu Program Prelungit Nr.53 Oradea,Oradea,26573,Urban,969191,561108562,Gpp Nr.53 Oradea,Grădinița cu Program Prelungit Nr.53 Oradea,Unitate de Învățământ,Pj,12556027,Program Prelungit,Buget,Publică de Interes Național Și Local,Călugăreni,4A,410371.0,359425577.0,359425577.0,Gradinita53@Yahoo.Com,598.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],4.0,0.0,14.0
2024-2025,BH,Oradea,26573,Urban,561101374,Grădinița cu Program Prelungit Nr.54 Oradea,Oradea,26573,Urban,1194121,561101374,Gpp Nr.54 Oradea,Grădinița cu Program Prelungit Nr.54 Oradea,Unitate de Învățământ,Pj,12555692,Program Prelungit,Buget,Publică de Interes Național Și Local,Bdul Dacia,110,410346.0,359455950.0,359455950.0,Gradinita54@Gmail.Com,474.0,"['Limba maghiară', 'Limba română']",['Preșcolar'],3.0,0.0,16.0
2024-2025,BH,Oradea,26573,Urban,561101519,Grădinița cu Program Prelungit Nr.56 Oradea,Oradea,26573,Urban,1218068,561101519,Gpp Nr.56 Oradea,Grădinița cu Program Prelungit Nr.56 Oradea,Unitate de Învățământ,Pj,12567654,Program Prelungit,Buget,Publică de Interes Național Și Local,"Liszt Ferenc Nr. 75, Str. Ialomiței Nr. 3",.,410539.0,359800591.0,359800591.0,Gradinitalotus@Yahoo.Com,620.0,['Limba română'],['Preșcolar'],2.0,0.0,8.0
2024-2025,BH,Oradea,26573,Urban,521100276,Inspectoratul Școlar Județean Bihor,Oradea,26573,Urban,502072,521100276,Inspectoratul Școlar Județean Bihor,Inspectoratul Școlar Județean Bihor,Inspectorat Școlar Județean,Pj,4473346,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Mihai Eminescu,11,410019.0,259416454.0,259470222.0,Contact@Isjbihor.Ro,,,,,,
2024-2025,BH,Oradea,26573,Urban,561201508,"Liceul „Don Orione"" Oradea",Oradea,26573,Urban,501690,561201508,"Liceul „Don Orione"" Oradea","Liceul „Don Orione"" Oradea",Unitate de Învățământ,Pj,21724219,Un Schimb/Zi,Taxă,Privată,Cazaban,49E,410282.0,359409729.0,359409728.0,Liceudonorione@Yahoo.Com,750.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,21.0
2024-2025,BH,Oradea,26573,Urban,561108517,"Liceul cu Program Sportiv „Bihorul"" Oradea",Oradea,26573,Urban,364652,561108517,"Liceul cu Program Sportiv „Bihorul"" Oradea","Liceul cu Program Sportiv „Bihorul"" Oradea",Unitate de Învățământ,Pj,4593377,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Strada Matei Basarab,4,410095.0,359414150.0,372847323.0,Lps_Bh@Yahoo.Com,503.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,22.0
2024-2025,BH,Oradea,26573,Urban,561101311,Liceul de Arte Oradea,Oradea,26573,Urban,1162075,561101311,Liceul de Arte Oradea,Liceul de Arte Oradea,Unitate de Învățământ,Pj,4390275,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Str. Petofi Sandor Nr. 26 (Pri) ; Str. Menumorut Nr. 33 (Gim, Lic)",.,410160.0,359802308.0,259411274.0,Lartaoradea@Yahoo.Com,867.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,45.0
2024-2025,BH,Oradea,26573,Urban,561108431,"Liceul Greco-Catolic „Iuliu Maniu"" Oradea",Oradea,26573,Urban,500919,561108431,"Liceul Greco-Catolic „Iuliu Maniu"" Oradea","Liceul Greco-Catolic „Iuliu Maniu"" Oradea",Unitate de Învățământ,Pj,10078511,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Str. Iuliu Maniu Nr. 5 (Pre, Pri, Gim, Lic) ; Str. Iuliu Maniu Nr. 38-40 (Pri); Str. Parcul Traian Nr. 20 (Pri, Pre); Str. Seleusului Nr. 67 (Pre)",.,410104.0,359410518.0,259434526.0,Liceuliuliumaniu@Yahoo.Com,958.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,20.0
2024-2025,BH,Oradea,26573,Urban,561208854,"Liceul Internațional „Agora"" Oradea",Oradea,26573,Urban,503026,561208854,"Liceul Internațional „Agora"" Oradea","Liceul Internațional „Agora"" Oradea",Unitate de Învățământ,Pj,40969886,Un Schimb/Zi,Taxă,Privată,Piața Tineretului,8,410526.0,259427398.0,259434925.0,Scoalaagora@Gmail.Com,237.0,['Limba română'],"['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,24.0
2024-2025,BH,Oradea,26573,Urban,561100798,"Liceul Ortodox „Episcop Roman Ciorogariu"" Oradea",Oradea,26573,Urban,52096493,561100798,"Liceul Ortodox „Episcop Roman Ciorogariu"" Oradea","Liceul Ortodox „Episcop Roman Ciorogariu"" Oradea",Unitate de Învățământ,Pj,22622667,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Aluminei Nr. 88 (Primar/ Gimnazial), Str. Republicii Nr. 48 (Lic)",.,410303.0,359410595.0,359410595.0,Licortoradea@Yahoo.Com,1051.0,"['Limba germană', 'Limba română']","['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",2.0,0.0,23.0
2024-2025,BH,Oradea,26573,Urban,561100952,"Liceul Reformat „Lorántffy Zsuzsanna"" Oradea",Oradea,26573,Urban,500646,561100952,"Liceul Reformat „Lorántffy Zsuzsanna"" Oradea","Liceul Reformat „Lorántffy Zsuzsanna"" Oradea",Unitate de Învățământ,Pj,10661255,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Andrei Șaguna Nr. 1 (Prim, Gimn, Lic); Bulevardul Ștefan cel Mare Nr. 6 (Apre, Pre); Str. Episcop Sulyok Istvan Nr. 9A, Str. Cuza Vodă Nr 4 A",.,410043.0,359410624.0,359410624.0,Licreformat@Gmail.Com,602.0,['Limba maghiară'],"['Antepreşcolar', 'Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",1.0,0.0,25.0
2024-2025,BH,Oradea,26573,Urban,561100762,"Liceul Sanitar „Vasile Voiculescu"" Oradea",Oradea,26573,Urban,1180637,561100762,"Liceul Sanitar „V. Voiculescu"" Oradea","Liceul Sanitar „Vasile Voiculescu"" Oradea",Unitate de Învățământ,Pj,12555722,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Clujului,66,410060.0,359436907.0,359436908.0,Vvoiculescu13@Yahoo.Com,509.0,['Limba română'],"['Gimnazial', 'Liceal', 'Postliceal', 'Primar']",1.0,0.0,20.0
2024-2025,BH,Oradea,26573,Urban,561108458,"Liceul Tehnologic „Constantin Brâncuși"" Oradea",Oradea,26573,Urban,364626,561108458,"Liceul Tehnologic „Constantin Brâncuși"" Oradea","Liceul Tehnologic „Constantin Brâncuși"" Oradea",Unitate de Învățământ,Pj,4593385,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Alexandru Cazaban,48,410282.0,359405617.0,359405617.0,Lic_Cobra@Yahoo.Com,780.0,['Limba română'],"['Liceal', 'Postliceal', 'Profesional']",1.0,0.0,32.0
2024-2025,BH,Oradea,26573,Urban,561201078,"Liceul Tehnologic „Georgiana"" Oradea",Oradea,26573,Urban,4125626,561201078,"Liceul Tehnologic „Georgiana"" Oradea","Liceul Tehnologic „Georgiana"" Oradea",Unitate de Învățământ,Pj,4839650,Un Schimb/Zi,Taxă,Privată,Parcului,1,410049.0,259417026.0,259417026.0,Georgianaor@Yahoo.Com,335.0,['Limba română'],['Postliceal'],1.0,0.0,3.0
2024-2025,BH,Oradea,26573,Urban,561109934,Liceul Tehnologic Dual Oradea,Oradea,26573,Urban,0503301,561109934,Ltdo,Liceul Tehnologic Dual Oradea,Unitate de Învățământ,Pj,50440172,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Ceyrat,4,410087.0,359460160.0,359460160.0,Secretariat@Ltdualoradea.Ro,81.0,['Limba română'],['Profesional'],1.0,0.0,4.0
2024-2025,BH,Oradea,26573,Urban,561100061,Liceul Tehnologic Special Nr.1 Oradea,Oradea,26573,Urban,780600,561100061,Liceul Tehnologic Special Nr.1 Oradea,Liceul Tehnologic Special Nr.1 Oradea,Unitate de Învățământ,Pj,38163145,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Gheorghe Barițiu,9,410020.0,259431459.0,259431459.0,Licspec1Oradea@Yahoo.Com,318.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar', 'Profesional']",1.0,0.0,55.0
2024-2025,BH,Oradea,26573,Urban,561101392,"Liceul Teologic Baptist „Emanuel"" Oradea",Oradea,26573,Urban,500634,561101392,"Liceul Teologic Baptist „Emanuel"" Oradea","Liceul Teologic Baptist „Emanuel"" Oradea",Unitate de Învățământ,Pj,4208480,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Bulevardul Decebal,65A,410231.0,259426810.0,259426810.0,Liceul.Emanuel@Gmail.Com,968.0,"['Limba maghiară', 'Limba română']","['Gimnazial', 'Liceal', 'Preșcolar', 'Primar']",3.0,0.0,26.0
2024-2025,BH,Oradea,26573,Urban,561101148,"Liceul Teologic Penticostal „Betel"" Oradea",Oradea,26573,Urban,501248,561101148,"Liceul Teologic Penticostal „Betel"" Oradea","Liceul Teologic Penticostal „Betel"" Oradea",Unitate de Învățământ,Pj,12583587,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Nicolae Șova,6,410602.0,259410262.0,259477192.0,Secretariatbetel@Yahoo.Com,1218.0,['Limba română'],"['Gimnazial', 'Liceal', 'Postliceal', 'Preșcolar', 'Primar']",1.0,0.0,23.0
2024-2025,BH,Oradea,26573,Urban,561100183,"Liceul Teologic Romano-Catolic „Szent László"" Oradea",Oradea,26573,Urban,500658,561100183,"Lic. Teol. Romano-Catolic „Szent László"" Oradea","Liceul Teologic Romano-Catolic „Szent László"" Oradea",Unitate de Învățământ,Pj,12555862,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"Partenie Cosma Nr. 3-5-7 (Pri/Gim/Lic/Prof), Str. Traian Lalescu Nr. 21A (Pre, Ante)",.,410003.0,359411121.0,359411121.0,Licromcat@Gmail.Com,863.0,['Limba maghiară'],"['Antepreşcolar', 'Gimnazial', 'Liceal', 'Preșcolar', 'Primar', 'Profesional']",1.0,0.0,44.0
2024-2025,BH,Oradea,26573,Urban,561101718,"Liceul Teoretic „Ady Endre"" Oradea",Oradea,26573,Urban,364585,561101718,"Liceul Teoretic „Ady Endre"" Oradea","Liceul Teoretic „Ady Endre"" Oradea",Unitate de Învățământ,Pj,4208617,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Moscovei,1,410001.0,359410588.0,259431787.0,Litadyendre@Yahoo.Com,737.0,['Limba maghiară'],"['Gimnazial', 'Liceal']",1.0,0.0,30.0
2024-2025,BH,Oradea,26573,Urban,561100821,"Liceul Teoretic „Aurel Lazăr"" Oradea",Oradea,26573,Urban,500012,561100821,"Liceul Teoretic „Aurel Lazăr"" Oradea","Liceul Teoretic „Aurel Lazăr"" Oradea",Unitate de Învățământ,Pj,4300515,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Avram Iancu,10,410094.0,259436208.0,259436208.0,Alazar1990@Yahoo.Com,537.0,['Limba română'],"['Gimnazial', 'Liceal']",1.0,0.0,19.0
2024-2025,BH,Oradea,26573,Urban,561208985,"Liceul Teoretic „Henri Coandă"" Oradea",Oradea,26573,Urban,503129,561208985,"Liceul Teoretic „Henri Coandă"" Oradea","Liceul Teoretic „Henri Coandă"" Oradea",Unitate de Învățământ,Pj,37801520,Un Schimb/Zi,Taxă,Privată,Barsei,16A,410423.0,259433532.0,259465113.0,Henri.Coanda.Oradea@Gmail.Com,241.0,['Limba română'],['Liceal'],1.0,0.0,9.0
2024-2025,BH,Oradea,26573,Urban,561101089,"Liceul Teoretic „Lucian Blaga"" Oradea",Oradea,26573,Urban,365319,561101089,"Liceul Teoretic „Lucian Blaga"" Oradea","Liceul Teoretic „Lucian Blaga"" Oradea",Unitate de Învățământ,Pj,4390232,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,Posada,1,410364.0,259267558.0,359410504.0,Lblaga92@Yahoo.Com,754.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,20.0
2024-2025,BH,Oradea,26573,Urban,561209118,Liceul Teoretic „Wenford Academy” Oradea,Oradea,26573,Urban,502993,561209118,Liceul Teoretic „Wenford Academy” Oradea,Liceul Teoretic „Wenford Academy” Oradea,Unitate de Învățământ,Pj,29850158,Un Schimb/Zi,Taxă,Privată,Primăriei,13,410209.0,762608273.0,359197080.0,Winnie_Academy@Yahoo.Com,327.0,['Limba română'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,13.0
2024-2025,BH,Oradea,26573,Urban,561101736,"Liceul Teoretic German „Friedrich Schiller"" Oradea",Oradea,26573,Urban,05365266,561101736,"Liceul Teoretic German „Friedrich Schiller"" Oradea","Liceul Teoretic German „Friedrich Schiller"" Oradea",Unitate de Învățământ,Pj,12567689,Un Schimb/Zi,Buget,Publică de Interes Național Și Local,"William Shakespeare Nr. 22 (Gim, Lic), Str. Piata Cazarmii Nr. 7 (Pri)",.,410191.0,359439711.0,359439711.0,Liceulgermanoradea@Gmail.Com,424.0,['Limba germană'],"['Gimnazial', 'Liceal', 'Primar']",1.0,0.0,13.0
